Site,Yparm,method,rows,created,ownername,edited,transfer,
ADATUNCO,Q,LINEAR,29,1-May-17,WPECK,15JUL07 0849,....... ....,
ADATUNCO,QC,LINEAR,44,91JUN03,CLORA,02DEC11 1353,....... ....,
AGR,ACE,ACECOEF,38,5-Oct-04,DKNUTESON,15JUN09 0738,....... ....,
AGR,AFOLD,LINEAR,180,87MAR05,LDEAVILA,05OCT04 1555,....... ....,
AGR,HH,GSSHIFT2,3,8-Nov-04,DKNUTESON,15JUN11 0818,....... ....,
AGR,OLDQR,LINEAR,3,87JUL17,LDEAVILA,08NOV04 0936,....... ....,
AGR,QR,GSLOG2,5,87JUL17,LDEAVILA,15JUN08 1135,....... ....,
AGR,QROLD,LINEAR,109,87JUL17,LDEAVILA,08NOV04 0904,....... ....,
AINE,QC,GSLOGLOG,42,97MAY29,LDEAVILA,98MAR06 1155,....... ....,1
ALCR,AF,LINEAR,131,91SEP06,GSANO,91SEP06 1351,....... ....,2
ALFVALMT,QC,GSLOGLOG,4,88NOV18,SGUENTHNE,92MAY22 1305,....... ....,
ALTUS,ACE,ACECOEF,28,12-Apr-27,LDEAVILA,12APR27 1332,....... ....,
ALTUS,AF,LINEAR,107,90OCT24,RMICHEL,12APR27 1119,....... ....,
ALTUS,QS,LINEAR,17,87JUL09,PDAVIDSON,91MAR26 1346,....... ....,
ANCR,AF,LINEAR,132,87APR13,BCANNON,14JUL16 0921,....... ....,
ARBUCK,AF,LINEAR,142,90OCT22,LDEAVILA,12APR10 1116,....... ....,
ARBUCK,AR,LINEAR,142,12-Apr-09,LDEAVILA,12APR10 1347,....... ....,
ARGY,QC,GSLOGLOG,4,13-Aug-05,CSCHWIEGE,13AUG05 1052,....... ....,
ARKAVOCO,HH,GSSHIFT2,1,1-Mar-29,CLORA,08NOV14 0842,....... ....,
ARKAVOCO,Q,GSLOG2,126,95JUL11,CLORA,15JUL15 0510,....... ....,
ARKCANCO,Q,LINEAR,794,95JUL11,LDEAVILA,11OCT27 1439,....... ....,
ARKGRACO,HH,GSSHIFT2,3,1-Mar-29,CLORA,08OCT31 1220,....... ....,
ARKGRNCO,HH,GSSHIFT2,0,1-Mar-29,CLORA,09JAN14 1358,....... ....,
ARKGRNCO,Q,LINEAR,59,1-May-09,CLORA,15JUN20 0510,....... ....,
ARKNATCO,HH,GSSHIFT2,0,1-Mar-29,CLORA,09JAN14 1402,....... ....,
ARKNATCO,Q,GSLOGLOG,69,93MAY18,CLORA,15JUL14 0510,....... ....,
ARKNEPCO,Q,LINEAR,602,95JUL11,RMICHEL,11OCT27 1331,....... ....,
ARKPORCO,Q,LINEAR,1428,95JUL11,RMICHEL,11OCT27 1442,....... ....,
ARKPUECO,Q,LINEAR,821,91JAN30,CLORA,11NOV02 1045,....... ....,2
ARKSALCO,Q,LINEAR,22,93JUN23,CLORA,04JUN01 0847,....... ....,
ARKWELCO,Q,LINEAR,56,92JUN05,LHOPKINS,93JUL02 1558,....... ....,
ARMT,HH,GSSHIFT2,3,92JUL21,DKNUTESON,15JUL06 0852,....... ....,
ARMT,Q,GSLOG2,18,9-Dec-31,DKNUTESON,15JUL06 0854,....... ....,
ARNE,ACE,ACECOEF,9,2-May-21,CSCHWIEGE,02MAY21 1053,....... ....,
ARWT,HH,GSSHIFT2,3,92JUL21,DKNUTESON,15JUL06 0839,....... ....,
ARWT,Q,GSLOG2,32,87JAN14,LDEAVILA,15MAY21 1611,....... ....,
BABM,HH,GSSHIFT2,2,92JUL21,NPHELPS,14JUL18 1056,....... ....,
BABM,Q,GSLOG2,117,88OCT04,NPHELPS,15JUL08 0510,....... ....,
